genes	logFC	logCPM	F	PValue	FDR
ENSG00000277443.1	ENSG00000277443.1	1.43772829524496	6.33858827714118	114.992641626839	8.12220332849167e-27	1.73086161955716e-24
ENSG00000181264.8	ENSG00000181264.8	1.42366576292104	3.62832643775031	69.8302636860656	6.53086623992061e-17	5.99487794820597e-15
ENSG00000163171.7	ENSG00000163171.7	1.4195408187626	2.44121295956707	46.6662156443066	8.45644969638109e-12	4.41551141376061e-10
ENSG00000166920.10	ENSG00000166920.10	1.4156877292839	1.48089275295713	30.8929608513464	2.73233275601601e-08	8.80713649651595e-07
ENSG00000196092.12	ENSG00000196092.12	1.41233552139274	3.2890686066173	61.9481147231971	3.55532912016476e-15	2.72099985506213e-13
ENSG00000095585.16	ENSG00000095585.16	1.41118814136614	2.34700044917111	44.4741149815031	2.58848377506191e-11	1.27225981667835e-09
ENSG00000221963.5	ENSG00000221963.5	1.40555962381882	2.09416420651329	39.5646192087955	3.18464442230229e-10	1.36145873349725e-08
ENSG00000124549.14	ENSG00000124549.14	1.40207008211048	2.08079071803015	39.093732856878	4.05284875729981e-10	1.7080307676816e-08
ENSG00000113532.12	ENSG00000113532.12	1.39976220253611	1.72896817559396	33.6978483427158	6.45324124421457e-09	2.29470561884488e-07
ENSG00000136689.18	ENSG00000136689.18	1.39336135949832	0.719172858053992	19.8221418213959	8.50685119178949e-06	0.000179569892080658
ENSG00000135378.3	ENSG00000135378.3	1.37797378383801	4.16726949394387	75.6162961461138	3.48720524040605e-18	3.54051134071394e-16
ENSG00000119655.8	ENSG00000119655.8	1.37459469593801	4.99159597391084	89.2199630690316	3.59272189889652e-21	4.741135060802e-19
ENSG00000154640.14	ENSG00000154640.14	1.3685089387411	0.593358218041534	18.0563411038458	2.14623874268518e-05	0.000417533439012445
ENSG00000179583.17	ENSG00000179583.17	1.3510513119971	-0.0259422348293759	12.0156758645165	0.000527733065818006	0.00731644269732237
ENSG00000243811.7	ENSG00000243811.7	1.34715709143022	0.39748625922505	15.597059741519	7.84208581503094e-05	0.00133448225545397
ENSG00000114450.9	ENSG00000114450.9	1.33777996945339	3.0137575507005	50.9812605116411	9.37752150738363e-13	5.52284733464152e-11
ENSG00000167680.15	ENSG00000167680.15	1.33511321922774	4.61229223570453	78.4865323121062	8.16064340452077e-19	8.74160004333639e-17
ENSG00000205436.7	ENSG00000205436.7	1.32555862797321	1.63747229660707	29.3180982611231	6.1536246766994e-08	1.88477804470486e-06
ENSG00000142910.15	ENSG00000142910.15	1.32245254827935	0.751517852417611	18.354869807453	1.83491506354346e-05	0.000362700942812779
ENSG00000185046.18	ENSG00000185046.18	1.32026306106419	2.55148041857947	42.6449457605814	6.58931372540548e-11	3.10217277245709e-09
ENSG00000129451.11	ENSG00000129451.11	1.31933078988328	-0.281487723034176	9.61467814022886	0.0019307276128203	0.0227019537675896
ENSG00000100918.12	ENSG00000100918.12	1.29633751879332	2.11395411465656	34.5606653705183	4.14254107345291e-09	1.51502951520799e-07
ENSG00000158470.5	ENSG00000158470.5	1.29557360120706	7.24072736307252	98.7559804654732	2.9156089597876e-23	4.60299856405421e-21
ENSG00000184584.12	ENSG00000184584.12	1.2938023588012	2.83173165384176	45.3805293235228	1.62963435473928e-11	8.1968297469238e-10
ENSG00000129116.17	ENSG00000129116.17	1.27551610995123	6.36235746028458	91.4593467265644	1.15943294398472e-21	1.57484418887006e-19
ENSG00000125775.14	ENSG00000125775.14	1.27506333175205	-0.304009757403963	8.8662315017262	0.00290551917755511	0.0320193728714841
ENSG00000180815.14	ENSG00000180815.14	1.27470858110417	0.39264937485847	14.1105873512294	0.000172451859911397	0.00271192353781918
ENSG00000235162.8	ENSG00000235162.8	1.2684386444962	4.64709145670662	71.7694558256481	2.44534627709813e-17	2.34457779458242e-15
ENSG00000152778.8	ENSG00000152778.8	1.2561384441383	4.55157915199615	68.9707994619819	1.00950616535103e-16	9.10034347085052e-15
ENSG00000112972.14	ENSG00000112972.14	1.24834684054608	7.08025597796998	91.2043172099235	1.31879100545245e-21	1.78326564925619e-19
